Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,
Search Parameters: year=2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,
,,,,,,,,,,,,
REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2023,Addis Carbon Black Plant,1000603,5221 Sid Richardson Road,30.3288,-91.2792,Addis,WEST BATON ROUGE PARISH,LA,70710,TOKAI CARBON CB LTD (100%),280795,"C,X"
2023,"Aemetis Advanced Fuels Keyes, Inc.",1012089,4209 Jessup Road,37.553007,-120.916475,Ceres,,CA,95307,AEMETIS INC (100%),40569,"C,PP"
2023,Ag Processing Inc,1002365,2753 Port Neal Circle,42.305176,-96.362271,Sergeant Bluff,WOODBURY COUNTY,IA,51054,AG PROCESSING INC A COOPERATIVE (100%),65183,C
2023,Ag Processing Inc,1013891,4815 8th Avenue,45.474311,-98.416005,Aberdeen,BROWN COUNTY,SD,57401,AG PROCESSING INC A COOPERATIVE (100%),55627,C
2023,Agropur,1012864,547 West Nez Perce,42.709612,-114.527559,Jeorme,JEROME COUNTY,ID,83338,AGROPUR INC (100%),30475,C
2023,Agropur Inc.,1012857,2915 County Road Ab,44.556959,-87.764596,Luxemburg,BROWN COUNTY,WI,54217,AGROPUR INC (100%),28456,C
2023,"Agropur, Inc.",1013643,408 Dakota Street,44.579444,-97.210556,Lake Norden,HAMLIN COUNTY,SD,57248,AGROPUR INC (100%),49285,C
2023,Ahlstrom Mosinee LLC,1007273,100 MAIN STREET,44.7887,-89.6943,MOSINEE,MARATHON COUNTY,WI,54455,AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC (100%),191838,"AA,C,TT"
2023,Ahlstrom NA Specialty Solutions LLC,1002339,600 THILMANY RD,44.2829,-88.2518,KAUKAUNA,OUTAGAMIE COUNTY,WI,54130,AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC (100%),171918,"AA,C,TT"
2023,Ahlstrom NA Specialty Solutions LLC,1005991,515 W DAVENPORT ST,45.6391,-89.421,RHINELANDER,ONEIDA COUNTY,WI,54501,AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC (100%),118121,C
2023,Ahlstrom North America SPECIALTY SOLUTIONS,1004045,200 MAIN AVE,44.44737,-88.06851,DEPERE,BROWN COUNTY,WI,54115,AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC (100%),49418,C
2023,Air Liquide Hydrogen Plant,1007253,8581 South Texas Road,48.467675,-122.553982,Anacortes,SKAGIT COUNTY,WA,98221,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),72277,P
2023,Air Liquide Large Industries US - SMR,1006711,11400 Bay Area Blvd.,29.621469,-95.044198,Pasadena,HARRIS COUNTY,TX,77507,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),399378,P
2023,Air Liquide North Las Vegas Liquid Hydrogen Plant,1014562,8450 N Terryl B Adams St,36.31623,-114.986163,North Las Vegas,CLARK COUNTY,NV,89165,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),87383,P
2023,Air Products - Geismar 3 HYCO,1013917,9150 Hwy 75,30.19641,-91.01745,Geismar,ASCENSION PARISH,LA,70734,AIR PRODUCTS & CHEMICALS INC (100%),239814,P
2023,Air Products Baytown 3 Facility,1013205,7714 West Bay Rd.,29.752,-94.909222,Baytown,CHAMBERS COUNTY,TX,77523,AIR PRODUCTS & CHEMICALS INC (100%),1020473,P
2023,Air Products H2 SMR Plant at DCRC (Unit 37),1014231,4550 Wrangle Hill Road,39.580271,-75.631114,Delaware City,NEW CASTLE COUNTY,DE,19706,AIR PRODUCTS & CHEMICALS INC (100%),246813,P
2023,Air Products LLC - Corpus Christi,1004442,5401 Up River Road,27.810323,-97.458049,Corpus Christi,NUECES COUNTY,TX,78407,AIR PRODUCTS & CHEMICALS INC (100%),160648,P
2023,Air Products LLC - Pasadena SMR,1006943,1435 Highway 225,29.716011,-95.200573,Pasadena,HARRIS COUNTY,TX,77506,AIR PRODUCTS & CHEMICALS INC (100%),491424,P
2023,Air Products Port Arthur Facility,1006402,1801 S Gulfway Dr within Valero Refinery,29.8662,-93.97117,Port Arthur,JEFFERSON COUNTY,TX,77640,AIR PRODUCTS & CHEMICALS INC (100%),2335031,"C,P,PP"
2023,Air Products West Coast Hydrogen - HP-1,1014323,3485 Pacheco Blvd.,38.01330428,-122.1079648,Martinez,,CA,94553,AIR PRODUCTS & CHEMICALS INC (100%),446432,P
2023,Air Products West Coast Hydrogen LLC - Torrance,1014612,3700 W 190th St. #U4/24,33.8692,-118.33159,Torrance,LOS ANGELES COUNTY,CA,90504,AIR PRODUCTS & CHEMICALS INC (100%),881225,"P,PP"
2023,Air Products West coast Hydrogen - HP-2,1014324,1915 Shell Avenue,38.01767958,-122.1185926,Martinez,,CA,94553,AIR PRODUCTS & CHEMICALS INC (100%),322459,P
2023,Air Products and Chemicals - Norco SMR,1011460,14885 Airline Drive,30.0169,-90.40874,Norco,ST. CHARLES PARISH,LA,70079,AIR PRODUCTS & CHEMICALS INC (100%),1102168,P
2023,Air Products and Chemicals Inc. Luling SMR Facility,1010506,12501 River Road B,29.93061,-90.34702,Luling,ST. CHARLES PARISH,LA,70070,AIR PRODUCTS & CHEMICALS INC (100%),861624,P
2023,Air Products and Chemicals Inc./Detroit Hydrogen Facility Marathon Refinery,1010625,1025 Oakwood Blvd,42.28689,-83.15642,Detroit,WAYNE COUNTY,MI,48217,AIR PRODUCTS & CHEMICALS INC (100%),386199,P
2023,"Air Products and Chemicals, Inc. - BR SMR",1004586,2 Gulf States Utility Rd,30.488192,-91.164097,"Baton Rouge, La",EAST BATON ROUGE PARISH,LA,70805,AIR PRODUCTS & CHEMICALS INC (100%),916362,P
2023,"Air Products and Chemicals, Inc. - Joliet, IL H2 Plant",1005852,25915 S.E. Frontage Road (c/o ExxonMobil),41.417473,-88.216903,Channahon,WILL COUNTY,IL,60410,AIR PRODUCTS & CHEMICALS INC (100%),94357,P
2023,Akutan Seafood Processing Facility,1010624,73 Salmon Way,54.132189,-165.786894,Akutan,,AK,99553,TRIDENT SEAFOODS CORP (100%),46061,C
2023,"Alpek Polyester USA, LLC Columbia Site",1009221,570 K AVENUE,33.866387,-81.012712,GASTON,CALHOUN COUNTY,SC,29053,"Alpek Polyester USA, LLC (100%)",67108,C
2023,"AlphaPET, Inc.",1005826,1301 Finley Island Road,34.6416,-87.05203,Decatur,MORGAN COUNTY,AL,35601,ALPHAPET INC (100%),44753,C
2023,Alpont LLC,1013088,4112 Corduroy Rd,41.65919,-83.45071,Oregon,LUCAS COUNTY,OH,43616,ALPONT LLC (100%),73769,"C,X"
2023,"Alto ICP, LLC",1004861,1301 S FRONT ST,40.556501,-89.666235,PEKIN,TAZEWELL COUNTY,IL,61554,ALTO INGREDIENTS INC (100%),163753,"C,II,PP"
2023,"Alto Pekin, LLC",1000413,1300 SOUTH 2ND STREET,40.555,-89.6628,PEKIN,Tazewell,IL,61554,ALTO INGREDIENTS INC (100%),346811,"C,II,PP"
2023,"American Sugar Refining, Inc. - Baltimore Refinery",1001859,1100 KEY HIGHWAY EAST,39.28023,-76.57112,BALTIMORE,BALTIMORE CITY,MD,21230,FANJUL CORP (100%),108612,C
2023,"American Sugar Refining, Inc. - Yonkers Refinery",1001861,1 Federal St.,40.92564,-73.90465,Yonkers,WESTCHESTER COUNTY,NY,10705,FANJUL CORP (100%),75865,C
2023,Amsted Graphite Materials LLC,1005068,2698 PHILIPPI PIKE,39.25496,-80.29091,ANMOORE,HARRISON COUNTY,WV,26323,AMSTED INDUSTRIES INC (100%),32682,C
2023,Anheuser-Busch LLC. - St. Louis Brewery,1002037,One Busch Place,38.5961,-90.2128,St. Louis,ST. LOUIS CITY,MO,63118,ANHEUSER-BUSCH COS LLC (100%),72071,"C,PP"
2023,Arauco North America,1013151,5851 Arauco Rd,44.5985,-84.6865,Grayling,CRAWFORD COUNTY,MI,49738,ARAUCO NORTH AMERICA INC (100%),53907,C
